Temperature,ADC count,Mean
-45,17582,0.268705270006506
-40,17976,0.274560832791152
-35,18362,0.280416395575797
-30,18754,0.286271958360442
-25,19159,0.292127521145088
-20,19544,0.297983083929733
-15,19921,0.303838646714379
-10,20358,0.31099544567339
-5,20745,0.316851008458035
0,21124,0.322706571242681
5,21548,0.329212752114509
10,21954,0.335068314899154
15,22366,0.341574495770982
20,22760,0.347430058555628
25,23165,0.353285621340273
30,23561,0.359791802212101
35,23984,0.36629798308393
40,24394,0.372153545868575
45,24784,0.378009108653221
50,25198,0.384515289525049
55,25619,0.391021470396877
60,26042,0.397527651268705
65,26403,0.402732595966168
70,26818,0.409238776837996
75,27233,0.415744957709824
80,27649,0.42160052049447
85,28058,0.428106701366298
90,28493,0.434612882238126
95,28902,0.441119063109954
100,29287,0.4469746258946
105,29697,0.452830188679245
110,30122,0.459986987638256
115,30532,0.465842550422902
120,30954,0.47234873129473
125,31381,0.478854912166558
130,31782,0.484710474951204
135,32172,0.491216655823032
140,32605,0.49772283669486
145,33045,0.504229017566688
150,33464,0.510735198438517
155,33845,0.516590761223162
