temp,VPTAT,VCTAT,"leafValue( VS(""/vbe_out"") ""modelFiles"" ""toplevel.scs:top_tt","ifxbasic.scs:nom"" ""ver_temp"" -45 )"
-45,3.35E-01,9.14E-01,,
-40,3.43E-01,9.08E-01,,
-35,3.51E-01,9.02E-01,,
-30,3.59E-01,8.96E-01,,
-25,3.67E-01,8.89E-01,,
-20,3.75E-01,8.83E-01,,
-15,3.83E-01,8.77E-01,,
-10,3.92E-01,8.70E-01,,
-5,4.00E-01,8.64E-01,,
0,4.08E-01,8.58E-01,,
5,4.17E-01,8.51E-01,,
10,4.25E-01,8.44E-01,,
15,4.34E-01,8.38E-01,,
20,4.42E-01,8.31E-01,,
25,4.51E-01,8.25E-01,,
30,4.59E-01,8.18E-01,,
35,4.68E-01,8.11E-01,,
40,4.77E-01,8.05E-01,,
45,4.85E-01,7.98E-01,,
50,4.94E-01,7.91E-01,,
55,5.03E-01,7.84E-01,,
60,5.12E-01,7.77E-01,,
65,5.20E-01,7.71E-01,,
70,5.29E-01,7.64E-01,,
75,5.38E-01,7.57E-01,,
80,5.47E-01,7.50E-01,,
85,5.56E-01,7.43E-01,,
90,5.66E-01,7.36E-01,,
95,5.75E-01,7.29E-01,,
100,5.84E-01,7.23E-01,,
105,5.93E-01,7.16E-01,,
110,6.03E-01,7.09E-01,,
115,6.12E-01,7.02E-01,,
120,6.22E-01,6.95E-01,,
125,6.32E-01,6.88E-01,,
130,6.41E-01,6.81E-01,,
135,6.51E-01,6.75E-01,,
140,6.61E-01,6.68E-01,,
145,6.72E-01,6.61E-01,,
150,6.82E-01,6.54E-01,,
155,6.92E-01,6.48E-01,,
